% Plastic table (Eq_stress (MPa), Eq strain)
   60.,      0.
 81.9177, 0.00795
 101.132,  0.0159
 117.448, 0.02385
 131.611, 0.03179
 144.075, 0.03974
  155.16, 0.04769
 165.103, 0.05564
 174.092, 0.06359
 182.276, 0.07154
 189.771, 0.07949
 196.675, 0.08744
 203.066, 0.09538
 209.012, 0.10333
 214.567, 0.11128
 219.777, 0.11923
 224.682, 0.12718
 229.313, 0.13513
 233.695, 0.14308
 237.849, 0.15103
 241.796, 0.15897
 245.554, 0.16692
 249.138, 0.17487
 252.563, 0.18282
 255.845, 0.19077
  258.99, 0.19872
 262.012, 0.20667
 264.914, 0.21462
 267.705, 0.22256
 270.392, 0.23051
  272.98, 0.23846
 275.473, 0.24641
 277.879, 0.25436
 280.201, 0.26231
 282.438, 0.27026
 284.605, 0.27821
 286.698, 0.28615
 288.721,  0.2941
 290.679, 0.30205
 292.577,    0.31
 292.577,      1.
